City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
506,Sawang Daen Din,TH,83.17,17.4753,103.4575,broken clouds,บ้านเจเน็ต คอมพิวเตอร์
507,Kununurra,AU,76.98,-15.7667,128.7333,scattered clouds,Hotel Kununurra
508,Cabedelo,BR,75.87,-6.9811,-34.8339,scattered clouds,Hotel Pigalle
512,Wuning,CN,78.13,29.2589,120.2311,few clouds,Fu Du Hotel
514,Belmonte,BR,77.5,-15.8631,-38.8828,clear sky,Pousada Monte Carmelo O Pão
515,Hobyo,SO,78.46,5.3505,48.5268,overcast clouds,Halane Hotel and Restaurent
516,Rawah,IQ,79.93,34.4816,41.9093,broken clouds,ديوان الشيخ نامق محسن الراوي
519,Mahdasht,IR,77.22,35.7299,50.8111,clear sky,مشاور املاک مهدی
520,Sechura,PE,70.07,-5.5569,-80.8222,few clouds,Hospedaje Costa Bella
521,Nankana Sahib,PK,82.65,31.4475,73.6972,clear sky,Nankana Resort
524,Lokoja,NG,78.6,7.8024,6.743,overcast clouds,Hotel Charvid
525,Jamame,SO,76.53,0.0722,42.7506,broken clouds,
533,Hanzhong,CN,76.64,33.0728,107.0303,scattered clouds,Guorui Hotel
534,Grand Gaube,MU,72.37,-20.0064,57.6608,few clouds,Veranda Paul et Virginie Hotel & Spa
536,Atar,MR,88.97,20.5169,-13.0499,few clouds,Oumou Elghoura
541,Bowen,AU,71.82,-20.0167,148.2333,overcast clouds,Castle Motor Lodge Motel
542,Bosobolo,CD,71.33,4.1833,19.9,moderate rain,
543,San Antonio,US,80.01,29.4241,-98.4936,clear sky,Drury Plaza Hotel San Antonio Riverwalk
546,Cimahi,ID,73.99,-6.8722,107.5425,broken clouds,Hotel Tjimahi
547,Dasoguz,TM,80.55,41.8363,59.9666,clear sky,Hotel Erik
548,Tolu,CO,79.14,9.5239,-75.5814,few clouds,Hotel Montecarlo
550,Bom Jardim,BR,75.54,-7.7958,-35.5872,overcast clouds,Pousada do Posto Jose Breno
552,Yokadouma,CM,70.21,3.5167,15.05,overcast clouds,Hôtel De Ville De Yokadouma
553,Antalaha,MG,70.7,-14.9003,50.2788,light rain,Hotel Vitasoa
554,Ahuimanu,US,86.94,21.4447,-157.8378,clear sky,Paradise Bay Resort
558,Wanning,CN,88.79,18.8003,110.3967,broken clouds,Paradise Hotel
564,Kieta,PG,85.69,-6.2167,155.6333,scattered clouds,Uruna Bay Retreat
565,Amahai,ID,80.55,-3.3333,128.9167,overcast clouds,HOTEL ISABELA
566,Galle,LK,80.85,6.0367,80.217,overcast clouds,Amangalla
567,Buchanan,LR,75.16,5.8808,-10.0467,heavy intensity rain,Kamaneahn Hotel Inc
569,Pombas,CV,71.38,17.1503,-25.0201,scattered clouds,POUSADA O RECANTO
570,Benguela,AO,72.61,-12.5763,13.4055,clear sky,Hotel Praia Morena
573,Eyl,SO,78.24,7.9803,49.8164,overcast clouds,Amiin Hotel
574,Tura,IN,76.17,25.5198,90.2201,few clouds,Hotel RIKMAN Continental
575,Tchibanga,GA,71.08,-2.85,11.0333,light rain,
577,Jaipur,IN,84.2,26.9167,75.8167,haze,Naila Bagh Palace
580,Susangerd,IR,89.62,31.5608,48.1831,clear sky,دفتر خدمات هوایی وجهانگردی نسیم گستر دشت آزادگان
582,Sarangani,PH,80.44,5.4033,125.4636,overcast clouds,Ballistic Islet
583,Shimoda,JP,70.11,34.6667,138.95,clear sky,Shimoda Tokyu Hotel
586,Kantang,TH,78.89,7.4054,99.5156,scattered clouds,Reng Ta Chai Boutique HomeStay
589,Iranshahr,IR,82.74,27.2025,60.6848,clear sky,پلکه بزرگ
590,Tsogni,GA,75.04,-2.7942,10.0988,scattered clouds,
599,Pathein,MM,82.56,16.7833,94.7333,overcast clouds,New Pammawaddy Hotel
602,Herat,AF,75.92,34.5,62.0,clear sky,
604,Sola,VU,77.67,-13.8833,167.55,overcast clouds,Leumerus Bungalows
610,Kahului,US,83.46,20.8947,-156.47,few clouds,Maui Seaside Hotel
615,La Libertad,EC,71.96,-2.2333,-80.9,overcast clouds,Playa Canela Hotel Boutique
616,Nicoya,CR,83.75,10.1483,-85.452,overcast clouds,Guayacan Real
617,Natal,BR,79.02,-5.795,-35.2094,clear sky,Villa Park Hotel | Natal
618,Huangpu,CN,77.34,25.4433,113.1747,overcast clouds,New Era Hotel Furnishing City
619,Iralaya,HN,82.49,15.0,-83.2333,few clouds,Iglesia morava renovada
623,Muroto,JP,73.44,33.2833,134.15,clear sky,Oota Ryokan
626,Riberalta,BO,74.66,-10.9833,-66.1,broken clouds,Hotel Colonial
627,Teahupoo,PF,76.96,-17.8333,-149.2667,overcast clouds,Vanira Lodge
628,Kintampo,GH,73.89,8.0563,-1.7306,moderate rain,Adomaa Memorial Hotel
629,Sao Jose Da Coroa Grande,BR,75.42,-8.8978,-35.1478,light rain,Crôa Mares Hotel
630,Maningrida,AU,80.49,-12.0667,134.2667,overcast clouds,Dhukurrdji Lodge
634,Statesboro,US,75.34,32.4488,-81.7832,clear sky,Holiday Inn Statesboro-University Area
636,Tautira,PF,82.42,-17.7333,-149.15,overcast clouds,Pension Oaoa
640,Natchitoches,US,76.05,31.7668,-93.1335,clear sky,Super 8 by Wyndham Natchitoches
646,Labuhan,ID,80.96,-6.8844,112.2051,broken clouds,PT PPI Lamongan Tambak C
648,Awjilah,LY,78.58,29.1081,21.2869,clear sky,
649,Netanya,IL,71.94,32.3329,34.8599,clear sky,King Koresh Hotel
650,Yenagoa,NG,76.46,4.9247,6.2642,scattered clouds,Aridolf Resort Wellness and Spa
653,Biak,ID,80.47,-0.9131,122.8766,overcast clouds,Penginapan Kim
654,Shimoni,KE,75.7,-4.6476,39.3817,overcast clouds,Shimoni Reef Lodge
656,Youkounkoun,GN,83.88,12.5333,-13.1333,overcast clouds,
657,Jibuti,DJ,81.82,11.5,42.5,clear sky,Orchid Main Camp Goubet
659,Simpang,ID,76.77,-1.2667,104.0833,overcast clouds,Sk 7 rt 1 dusun 3 rantau makmur berbak
661,Abu Zabad,SD,87.44,12.35,29.25,few clouds,حامد محمد نور
663,Carauari,BR,74.93,-4.8828,-66.8958,broken clouds,Hotel Fellip
664,Altamira,BR,77.88,-3.2033,-52.2064,overcast clouds,Requinte Hotel
666,Pagudpud,PH,87.76,18.5616,120.7868,scattered clouds,Saud Beach Resort and Hotel - 2
670,Honiara,SB,83.8,-9.4333,159.95,overcast clouds,Heritage Park Hotel
673,Yinchuan,CN,76.28,38.4681,106.2731,overcast clouds,JJ Inns - Yinchuan New Moon Square Branch
674,Reyes,BO,72.52,-14.3167,-67.3833,overcast clouds,
676,Atakpame,TG,73.98,7.5333,1.1333,overcast clouds,Hôtel sahélien
678,Padang,ID,76.33,-0.9492,100.3543,overcast clouds,Mercure Padang
679,Kudahuvadhoo,MV,83.66,2.6708,72.8944,clear sky,Niyama Private Islands Maldives
681,Conway,US,70.05,35.0887,-92.4421,clear sky,"Country Inn & Suites by Radisson, Conway, AR"
685,Kafanchan,NG,73.09,9.5833,8.3,broken clouds,Metro Guest Inn
686,Riyadh,SA,89.65,24.6877,46.7219,clear sky,"InterContinental Riyadh, an IHG Hotel"
692,Bintulu,MY,79.21,3.1667,113.0333,few clouds,900 Boutique INN
693,Oron,NG,77.34,4.8256,8.2343,light rain,Aqua Belloni Lodge
